"Artikelnummer";"Name";"Kategorie";"Beschreibung";"EK";"Lieferanten Nr.";"Geändert";"VK Verkaufspreis "
"1077";"Wechselrichter Sungrow 50kW";"WR";"- Sungrow SG50CX Premium 

- 50 kVA Leistung 3 Phasig - 4 MPP Tracker 

- 2 MC4 Eingänge pro MPPT (Mit Y-Kabel bis zu 10 Stränge möglich) 

- EVO2 DC Stecker 

- 30 A pro MPPT

- Abmessungen: 645*575*245 mm

- Schutzklasse: IP66 

- Gewicht: 41 kg";"1899.84";"";"27.09.24";"2469.79"
"1566";"PHOE Schutzleiterklemme UISLKG 16";"RK";"Allgemeine Daten


Installationsschutzleiterklemme, Anschlussart: Schraubanschluss, Anzahl der Anschlüsse: 2, Querschnitt: 2,5 mm² - 25 mm², AWG: 12 - 3, Breite: 12 mm, Farbe: grün-gelb, Montageart: NS 35/7,5, NS 35/15, NS 32Preiseinheit: 100 StückGewicht: 0,0370 kg pro Stück



Artikelnummer209492

Meine Artikelnummerspeichern

Hersteller

Phoenix Contact

Produktinfo beim Hersteller

Verfügbarkeit beim Hersteller anfragen

Hersteller-NR.

0443052

Warengruppe

Reihenklemmen


EAN

4017918002299ProduktdetailsAlternativenZubehörKunden kauften auchMögliche Varianten für PE-SchutzleiterklemmenProduktdetails

Farbe:

sonstige

Anzahl der Etagen:

1

Anzahl der Klemmstellen je Etage:

2

Ausführung elektrischer Anschluss 2:

Schraubanschluss

Abschlussplatte erforderlich:

nein

Anschließbarer Leiterquerschnitt mehrdrähtig:

4 - 16 mm²

Betriebstemperatur:

-60 - 105 °C

Anschließbarer Leiterquerschnitt eindrähtig:

2.5 - 25 mm²

Anschließbarer Leiterquerschnitt feindrähtig mit Aderendhülse:

1.5 - 16 mm²

Ausführung elektrischer Anschluss 1:

Schraubanschluss

PEN-Funktion möglich:

nein

Montageart:

Hutschiene TH35

Anschließbarer Leiterquerschnitt feindrähtig ohne Aderendhülse:

4 - 16 mm²

Werkstoff des Isolierkörpers:

sonstigeAlternativen:jetzt vergleichen 533651355,40 €per 100 Stück

623,50 €WEI: 0ZL: 270ges. PHOE Schutzleiterklemme UTI 16-PE grün-gelb (3073830)+1 +50in den WarenkorbZubehör:alle anzeigenjetzt vergleichen 20831763,31 €per 100 Stück

107,30 €WEI: 0ZL: 5500ges. PHOE Universal-Endklammer E/UK (1201442)+50in den Warenkorb 20938970,27 €per 100 Stück

119,10 €WEI: 0ZL: 415ges. PHOE Endhalter E/UK 1 (1201413)+1 +50in den Warenkorb 419362569,59 €per 100 Stück

965,40 €WEI: 0ZL: 114ges. PHOE Hutprofil-Tragschiene NS35/7,5 ZN 2000mm gelocht 35x7,5mm (1206421)+1 +5in den Warenkorb 20941371,80 €per 100 Stück

121,70 €WEI: 0ZL: 100ges. PHOE Zackband ZB 10 LGS: L1-N PE (1053412)+10in den Warenkorb 419337796,80 €per 100 Stück

1.350,50 €WEI: 0ZL: 147ges. PHOE Hutprofil-Tragschiene Stahl NS 35/7,5 2000mm gelocht 35x7,5mm (0801733)+1 +5in den Warenkorb 4193521.323,61 €per 100 Stück

2.243,40 €WEI: 0ZL: 42ges. PHOE Hutprofil-Tragschiene Stahl NS35/15 2000mm gelocht 35x15xmm (1201730)+1 +5in den Warenkorb 21933646,93 €per 100 Stück

79,55 €WEI: 0ZL: 170ges. PHOE Zackband ZB 10: UNBEDRUCKT (1053001)+10in den Warenkorb 04268821,65 €per 100 Stück

36,70 €WEI: 0ZL: 1300ges. PHOE Endkappe für Tragschienen NS 35/ 7,5 CAP (1206560)+100in den Warenkorb 4193555.025,44 €per 100 Stück

8.517,70 €WEI: 0ZL: 40ges. PHOE Hutprofil-Tragschiene Kupfer 1,5mm NS35/15 CU 2000mm ungelocht 35x15mm (1201895)+10in den Warenkorb 04268921,65 €per 100 Stück

36,70 €WEI: 0ZL: 0ges. PHOE Endkappe für Tragschienen NS 35/15 CAP (1206573)+100in den Warenkorb 6062139234,35 €per 100 Stück

397,20 €WEI: 0ZL: 0ges. PHOE Marker UCT-TM 10 weiss unbeschriftet (0829142)+10in den Warenkorb 419335711,30 €per 100 Stück

1.205,60 €WEI: 0ZL: 0ges. PHOE Hutprofil-Tragschiene Stahl NS35/7,5 2000mm ungelocht 35x7,5mm (0801681)+25in den Warenkorb 6061442281,49 €per 100 Stück

477,10 €WEI: 0ZL: 0ges. PHOE Marker UC-TM 10 weiss unbeschriftet (0818069)+10in den Warenkorb 4193441.559,78 €per 100 Stück

2.643,70 €WEI: 0ZL: 0ges. PHOE G-Profil-Tragschiene NS32 2000mm gelocht 32x15mm (1201002)+10in den Warenkorb 419366938,69 €per 100 Stück

1.591,00 €WEI: 0ZL: 0ges. PHOE Hutprofil-Tragschiene NS35/15 ZN 2000mm gelocht 35x15mm (1206599)+50in den Warenkorb 6077110159,24 €per 100 Stück

269,90 €WEI: 0ZL: 0ges. PHOE Zackband ZB 10 CUS (0824941)+1in den Warenkorb 4193531.787,11 €per 100 Stück

3.029,00 €WEI: 0ZL: 0ges. PHOE Hutprofil-Tragschiene Alu 1,5mm NS35/15 AL 2000mm ungelocht 35x15mm (1201756)+5in den Warenkorb 4193451.298,94 €per 100 Stück

2.201,60 €WEI: 0ZL: 0ges. PHOE G-Profil-Tragschiene NS32 2000mm ungelocht 32x15mm (1201015)+10in den Warenkorb 4193392.518,71 €per 100 Stück

4.269,00 €WEI: 0ZL: 0ges. PHOE Hutprofil-Tragschiene Kupfer NS35/7,5 CU 2000mm ungelocht 35x7,5mm (0801762)+10in den Warenkorb 4193361.650,23 €per 100 Stück

2.797,00 €WEI: 0ZL: 0ges. PHOE Hutprofil-Tragschiene Alu NS35/7,5 AL 2000mm ungelocht 35x7,5mm (0801704)+25in den Warenkorb 4193511.312,34 €per 100 Stück

2.224,30 €WEI: 0ZL: 0ges. PHOE Hutprofil-Tragschiene Stahl NS35/15 2000mm ungelocht 35x15mm (1201714)+10in den WarenkorbDieser Artikel wird oft zusammen mit folgenden Artikeln gekauft:alle anzeigenjetzt vergleichen 209489263,80 €per 100 Stück

462,80 €WEI: 0ZL: 154ges. PHOE Durchgangsklemme UIK16BU blau (3006205)+1 +50in den Warenkorb 209490263,80 €per 100 Stück

462,80 €WEI: 0ZL: 358ges. PHOE Universalklemme UIK 16 (3006153)+1 +50in den Warenkorb 534879163,42 €per 100 Stück

286,70 €WEI: 0ZL: 22294ges. PHOE Dreistockklemme PTI 2,5-PE/L/NT (3213946)+1 +50in den Warenkorb 534884106,53 €per 100 Stück

186,90 €WEI: 0ZL: 8847ges. PHOE Dreistockklemme PTI 2,5-L/L (3213953)+1 +50in den Warenkorb 534881139,71 €per 100 Stück

245,10 €WEI: 0ZL: 7178ges. PHOE Dreistockklemme PTI 2,5-PE/L/N (3213950)+1 +50in den Warenkorb 209457951,90 €per 100 Stück

1.670,00 €WEI: 0ZL: 116ges. PHOE Schutzleiterklemme UISLKG 35 (0443065)+1 +50in den Warenkorb 370621258,04 €per 100 Stück

452,70 €WEI: 0ZL: 1980ges. PHOE Installationsklemme PTI 16-NLS-FI BU (1030131)+10in den Warenkorb 53490128,96 €per 100 Stück

50,80 €WEI: 0ZL: 3127ges. PHOE Deckel D-PTI/3 grau (3213975)+1 +50in den Warenkorb 208344889,72 €per 100 Stück

1.508,00 €WEI: 0ZL: 64ges. PHOE N-Sammelschiene NLS-CU 3/10 SN 1000MM (0402174)+1 +10in den Warenkorb 03363124,03 €per 100 Stück

42,15 €WEI: 0ZL: 9018ges. PHOE Steckbrücke FBS 2-5 (3030161)+1 +50in den WarenkorbMögliche Varianten für PE-Schutzleiterklemmen:alle anzeigenjetzt vergleichen209446 PHOE PE-Schutzleiterklemme USLKG 16 N (0443023) 537,91 €+1 +50219317 PHOE PE-Schutzleiterklemme USLKG 2,5 N (0441119) 360,41 €+1 +50208751 PHOE PE-Schutzleiterklemme USLKG 5 (0441504) 366,91 €+1 +50219318 PHOE PE-Schutzleiterklemme USLKG 6 N (0442079) 384,81 €+1 +50209457 PHOE Schutzleiterklemme UISLKG 35 (0443065) 951,90 €+1 +50219342 PHOE Schutzleiterklemme USLKG 10 N (3003923) 424,31 €+1 +50208551 PHOE Schutzleiterklemme USLKG 50 (0443049) 2.231,21 €+1 +10208398 PHOE Schutzleiterklemme USLKG 95 (0441041) 2.922,79 €+1 +10alle anzeigen578,44  (Netto) Erinnerungen zu Preisänderungen

Brutto ohne MwSt.

1.014,80 €WEI: 0ZL: 84ges. +1 +50In den Warenkorb legenFeedback sendenHaben Sie Frage";"5.79";"209492";"27.09.24";"7.53"
"1014";"Installationskanal 60x90 mm";"KTS";"";"8.32";"";"27.09.24";"10.82"
"1565";"NYM-J 5x16qmm";"KL";"Mantelleitung NYM-J 5x16qmm";"15.9532";"";"27.09.24";"20.74"
"1560";"Garantie auf die Technischen Komponenten auf 30 Jahre";"";"Umfang:

- Wechselrichter

- Batterieladewechselrichter

- Speicher";"11000";"";"26.09.24";"19995"
"1563";"PV- Speicher Alpha ESS 7,8 kWh";"PV- Speicher";"•Alpha SMILE-Hi5/10-BAT 7,8?kWh

• Kobaltfreie Lithium-Eisenphosphat-Batterie (LiFePO4)


• 7,8 kWh nutzbare Kapazität je Batteriemodul

• Max. Ladestrom 1C";"3178";"";"25.09.24";"4131.4"
"1562";"Smartmeter Alpha ESS";"Smartmeter";"• Alpha ESS Meter DTSU666 5(80)A

• kompatibel mit i-Serie, G3-Serie
• 80A Direktmessung";"150";"";"25.09.24";"195"
"1561";"Hybrid- Wechselrichter Alpha ESS 10 kW";"Hybrid- Wechselrichter";"• Alpha SMILE-Hi10
• 10.000 W max. Lade-/Entladeleistung
• 16.000 W max. PV-Leistung
• MPPT-Anzahl: 2
• Max. Strings: 4
• MPPT-Spannungsbereich: 200 – 850 V
• Max. PV-Eingangsspannung: 1.000 V
• Wirkungsgrad &gt;97% (EU)
• Leistungsgarantie Akku 15 Jahre*** linear, auf 25 Jahre erweiterbar";"1957";"";"25.09.24";"2544.1"
"1558";"Skonto";"";"";"0";"";"23.09.24";"0"
"1531";"Hybrid- Wechselrichter Ecoflow 30 kW ";"Wechselrichter";"-  EF HD-P3- 29K9-S1

-  Eingangsspannungsbereich von 160-1000 V 

- Hoher Wirkungsgrad von bis zu 99,9 % 

- Natürliche Konvektion

 - AC Überspannungsschutz integriert

- externe Anschlüsse, kein Öffnen des Wechselrichters nötig 

- SG-Ready Kontakt vorhanden (zur Ansteuerung z.B. Wärmepumpe) 

- Geräuschemission 30dB (A) 

- MPP Tracker: 3

- 15 Jahre Garantie

- IP65 geschützt";"2499";"";"20.09.24";"3248.7"
"1119";"PV Überschusssteuerung für eine Wallbox (19% MwSt)";"Wallbox";"Photovoltaik Überschuss Steuerung Mit dieser Steurung wird das E-Auto bis zu 100% mit der Energie aus der Photovoltaikanlage auf dem Hausdach geladen. Die Steuerung schaltet die Wallbox ein um das Auto zu laden, sobald genug PV Leistung vorhanden ist. Die Ladeleistung des Autos wird dabei unter Brücksichtigung der Stromverbraucher im Haus angepasst. E-Auto mit bis zu 100% eigenem Strom laden um die Stromkosten zu minieren intuitive Benutzeroberfläche über Weboberfläche oder optional mit Display Steuerung mit installierter und vorkonfigurierter Software: evcc.io Kompatibel mit Batteriespeicher Plug and Play: Steuerung mit dem LAN Netztwerk verbinden Es ist ein Energiemessgerät in der Hausinstallation erforderlich. Kompatibele Messgeräte: Carlo Gavazzi EM24/ET340 cFos PowerBrain Meter Discovergy DSMR E3DC FENECON Huawei Sun 2000 Kostal Piko LG ESS Home 8/10 OpenEMS SMA Solarlog Solarwatt Solax Victron Energy Volkszähler und weitere... Die Steuerung ist optimiert bei der Verwendung mit Batteriespeicher. Beim Batteriespeicher ist das Energiemessgerät bereits vorhanden. Die entsprechenden Daten werden aus dem Batteriespeichersystem ausgelesen.";"0";"";"19.09.24";"0"
"1550";"Trapezblech Eindeckung pro qm";"";"";"30";"";"16.09.24";"38.5"
"1548";"Zahlungsbedingungen Angebote";"";"Zahlungsbedingungen Zahlbar nach Vereinbarung
Abrechnung erfolgt nach Aufmaß.Dieses Angebot ist freibleibend.Wir behalten uns eine Preisanpassung bei Veränderungen auf dem Stahlmarkt vor.
Änderungen nachfreigegebener Auftragsbestätigung ziehen Zusatzkosten nach sich.";"0";"";"16.09.24";"0"
"1540";"Baustellentoilette";"";"";"1000";"";"16.09.24";"1000"
"1065";"SolarEdge Optimierer S1000";"";"- Maximale Leistung auf Modulebene - nicht der ganze String durch Verschattung betroffen 

- kontinuierliches MPP-Tracking 

- Bis zu zwei 500W Module an einem Optimierer 

- Monitoring auf Modulbasis möglich 

- mehr Leistung bei Verschattung und verschiedenen Ausrichtungen 

- Module verschiedener Leistungsklassen kombinierbar ohne Verluste 

- Erkennt abnormales Verhalten von PV-Steckern

- verhindert potenzielle Sicherheitsprobleme. 

- 25 Jahre Herstellergarantie";"68";"";"04.09.24";"88.4"
"1189";"Wechselrichter SolarEdge 25 kW";"";"- SolarEdge SE25K-M4 SE25K-RW00IBNM4 oder vergleichbar

- Nur für SolarEdge Optimierer ausgelegter Wechselrichter

- DC-Nennspannung 750 Vdc

- Sehr hoher Wirkungsgrad von bis zu 98 %

- Anschlüsse für Rundsteuerempfänger

- Optional WiFi, ZigBee Gateway oder GSM

- 12 Jahre Herstellergarantie";"1528";"";"04.09.24";"1986.4"
"1528";"Solarpanel Wasserablauf";"";"";"0";"";"03.09.24";"0"
"1356";"Hybrid - Wechselrichter GoodWe 25 kW";"";"GoodWe ET 25 - GW25K-ET- 20,0 kW Notstrom fähig


- Schwarzstartfähig

- Peakshaving Funktion

- AC Überspannungsschutz

- Netzanschluss: 3 Phasig

- AC Leistung: 25,0 kVA

- MPP Tracker: 3 ; Stringanschlüsse je MPPT: 2

- Batterieanschluss für Hochvolt Batterie (GoodWe, BYD)

- Potentialfreier Kontakt vorhanden (Programmierbar über SolarGo-App) (SG-Ready)";"3170";"";"03.09.24";"4121"
"1525";"Wechselrichter SolarEdge 30 kW SE30K-M4";"";"- DC-Nennspannung 750 Vdc
- Sehr hoher Wirkungsgrad von bis zu 98,3 %
- Anschlüsse für Rundsteuerempfänger
- Optional WiFi, ZigBee Gateway oder GSM
- Integrierter DC-Überspannungsschutz Typ 2
- 30 kVA Leistung 3 Phasig
- 4 Paar MC4 Eingänge
- Ethernet RJ45 oder Wireless mit ANT-ZBWIFI-KIT
- Schutzklasse: IP65
- Standardgarantie: 12 Jahre
- Abmessungen: 550 x 317 x 273 mm (H x B x T)
- Gewicht: 32 kg";"1787";"";"02.09.24";"2323.1"
"1526";"Wechselrichter SolarEdge 25 kW SE25K-M4";"";"- DC-Nennspannung 750 Vdc
- Sehr hoher Wirkungsgrad von bis zu 98 %
- Anschlüsse für Rundsteuerempfänger
- Optional WiFi, ZigBee Gateway oder GSM
- 25 kVA Leistung 3 Phasig
- 3 Paar MC4 Eingänge
- Ethernet RJ45 oder Wireless mit ANT-ZBWIFI-KIT
- Schutzklasse: IP65
- Standardgarantie: 12 Jahre
- Abmessungen: 540 x 315 x 260 mm (H x B x T)
- Gewicht: 45
- integrierter DC ÜSS Typ2";"1709";"";"02.09.24";"2221.7"
"1523";"Sonderkonstruktion ";"";"Preis gilt als Indikation, bis zu +/- 20%";"110000";"";"28.08.24";"121000"
"1524";"GoodWe SMT - GW60KS-MT";"";"- Netzanschluss: 3-Phasig
- AC Leistung: 60 kVA
- MPP-Tracker: 6 mit je 2 Stringanschlüssen
- Max. Kurzschlussstrom pro MPPT: 37,5 A
- Maß: 660 x 520 x 220 mm (HxBxT)
- Schutzgrad: IP 65
- Gewicht 55,0 kg
- Garantie: 5 Jahre";"2780";"";"28.08.24";"3614"
"1510";"Outdoor-Batteriespeicher GoodWe Lynx C 60 kWh ";"";"- Outdoor-Systemgehäuse mit Schutzklasse IP 55
- Klimaanlage als Heiz- und Kühlsystem integriert
- Verschiedene Leistungklassen möglich durch die Integration der ET 15-30 Serie
- Parallelschaltung bis zu 3 Batteriesystemen mit jeweils 60 kWh (Insgesamt: 180 kWh)
- Peakshaving, Notstrom und Eigenverbrauchsoptimierung über die ET 15-30 Serie
- Notstromfähig
- Nutzbare Batteriekapazität: 60 kWh
- Anzahl der Batteriemodule: 11 mit jeweils 5,76 kWh
- Nennspannung: 633,6 V
- Max. Lade-/ Entladestrom: 96 A
- Kommunikation: CAN
- Betriebstemperaturbereich: Entladen: -25°C - 55 °C
- Betriebstemperaturbereich: Laden: 0°C - 55°C
- Abmessungen: 2050 x 1108 x 1111,5 mm (H x B x T)
- Gesamtgewicht: 1029,5 kg
- Schutzklasse: IP 55
- Produktgarantie: 10 Jahre
- Performance-Garantie: 10 Jahre";"18552.8";"";"27.08.24";"24118.64"
"1519";"GoodWe Hybrid-Nonhybrid Kit";"";"- Anbindungs-Kit für einen nicht-hybriden Wechselrichter, der dennoch die Batterie speist bestend aus:

- GoodWe EzLogger Pro

- GoodWe WiFi+ LAN Kit

- GoodWe WiFi + LAN Kit-20

- GoodWe Smart Meter GM330 (3-phasig)";"400";"";"21.08.24";"520"
"1522";"Dachreinigung ";"";"";"0";"";"16.08.24";"20"
"1522";"Dachreinigung ";"";"";"0";"";"16.08.24";"20"
"1478";"PV- Speicher Ecoflow 15,3 kWh";"PV- Speicher";"-  EcoFlow PowerOcean LFP-Batterie

- Integrierter Feuerlöscher

- Integrierter Frostschutz

- IP65 geschützt

- Jederzeit erweiterbar bis zu 45 kWh

- Abmessungen  680×183×1406 mm

- 15 Jahre Produktgarantie ";"4966";"";"15.08.24";"6455.8"
"1493";"Heizstab Ecoflow 6 KW (19% Mwst.) ";"Heizstab";"-  PowerGlow-6kW-P3-EU

- Überschussladen möglich

- Volle Transparenz und Kontrolle mit der EcoFlow APP

- Mühelose Installation

- Anbindung an die PV Anlage


- OHNE Montage im Warmwasserspeicher!";"900";"";"14.08.24";"1170"
"1494";"Heizstab Ecoflow 9 KW (19% Mwst.) ";"Heizstab";"-  PowerGlow-9kW-P3-EU

- Überschussladen möglich

- Volle Transparenz und Kontrolle mit der EcoFlow APP

- Mühelose Installation

- Anbindung an die PV Anlage

- OHNE Montage im Warmwasserspeicher!";"800";"";"14.08.24";"1040"
"1521";"Dachsanierung M&amp;P";"";"Dachsanierung durch ein Partner Unternhemen um die Installation einer PV Anlage zu gewährleisten. ";"34750";"";"12.08.24";"34750"
"1518";"GoodWe SDT G2 - GW17KT-DT (17kW)";"";"- Netzanschluss: 3-Phasig

- AC Leistung: 17 kVA

- MPP-Tracker: 2 mit je 2 Stringanschlüssen

- Ventilatorkühlung

- Abmessungen: 511 x 415 x 175 mm (H x B x T)

- Schutzklasse: IP 65

- Gewicht: 25,0 kg

- Garantie: 5 Jahre";"910.36";"";"08.08.24";"1183.47"
"1515";"EcoFlow Smart Plug";"";"App-Fernbedienung

- Zeitpläne und Zeitschaltuhren
- Sprachsteuerung
- WLAN und Bluetooth aktiviert
Funktioniert mit PowerStream Mikrowechselrichter

- Energieverwaltung in Echtzeit
- Optimierte automatische Energiezuweisung";"32";"";"07.08.24";"36"
"1514";"GoodWe Lynx C 60 kWh Outdoor-Batteriespeicher";"";"-Nutzbare Batteriekapazität: 60 kWh

- Anzahl der Batteriemodule: 11 mit jeweils 5,76 kWh

- Betriebstemperaturbereich: Entladen: -25°C - 55 °C


- Betriebstemperaturbereich: Laden: 0°C - 55°C

- Abmessungen: 2050 x 1108 x 1111,5 mm (H x B x T)

- Gesamtgewicht: 1029,5 kg

- Schutzklasse: IP 55

- Produktgarantie: 10 Jahre

- Performance-Garantie: 10 Jahre";"18552.8";"";"02.08.24";"28010"
"1453";"Tigo TAP";"";"";"34.7";"";"26.07.24";"45.11"
"1360";"enwitec Umschalteinrichtung für Fronius Symo Hybrid / Gen24, inkl. Smart Meter D/A/CH";"";"- Komplett anschlussfertig und von Fronius freigegeben
- Allpolige Netztrennung
- Fronius Smart Meter ist integriert
- Besonders leise, brummfreie Schütze („hum-free“)
- Vorkonfektioniert inklusive aller Kabelverschraubungen und Installationsanleitung
- Ausführung gemäß Schaltplan „Fronius Symo Hybrid / Gen24 – Overview“
- Schutzklasse IP65 mit transparenter Tür
- Max. Durchgangsleistung:&lt;= 20kW
- Zugelassen für Netzform: TN-S, TT
- Standardvariante für Deutschland und die Schweiz
- Hier finden Sie eine Alternative mit zusätzlichem Anschluss für PV-Wechselrichtern bis 8,2 kVAund bis 20 kVA.
- Herstellerartikelnummer: 10015613";"893";"";"25.07.24";"1160.9"
"1495";"Ecoflow 4G Dongle(EU)";"Dongle";"-  EF-4GDongle-EU

- notwendig bei schlechten Internet am Installationsort

- dient zum Aufbau einer stabilen Internetverbindung";"88";"";"25.07.24";"114.4"
"1020";"Wood Screw Tellerkopfschraube 8x100";"";"";"0.22";"";"25.07.24";"0.29"
"1100";"VICTRON ENERGY MULTIPLUS-II";"";"-VICTRON ENERGY MULTIPLUS-II 48/5000/70-50 LV 48V BATTERIE WECHSELRICHTER LADEGERÄT oder vergleichbar -FARBE: Blau -MARKE: Victron Energy -MAX. AC LEISTUNG: 9000W -MAX. BATTERIE LEISTUNG: 5000W -NOTSTROM: Ja -SPANNUNG: 48 V -VERSANDGEWICHT: 31,50 kg -ABMESSUNGEN ( LÄNGE × BREITE × HÖHE ): 56,50 × 32,00 × 14,90 cm";"1472.73";"";"25.07.24";"1914.55"
"1115";"Abbau Schneefang";"";"Abbau von Schneefang um Platz für die Montage der Module zu haben. Stundenweise gerechnet";"0";"";"25.07.24";"0"
"1206";"PV- Speicher GoodWe 9,83 kWh";"";"- GoodWe Lynx Home F - LX F9.8-H oder vergleichbar - Platzsparend aufgrund Stabelbauweise - Einfache Installation da Plug- and - Play zwischen den einzelnen Batteriemodulen - Plug- and Play Kommunikation zwischen den Batteriemodulen und der PCU - Für Innen- und Außenmontage geeignet - PCU mit Ladezustand und Fehleranzeige - Notstromfähig - 10 Jahre Herstellergarantie";"5876";"";"25.07.24";"7638.8"
"1256";"Photovoltaikanlage EGing 400W";"";"x Hochleistungsmodule EGing 400W, EG-M54-HLV oder vergleichbar - Produktgarantie 15 Jahre ; - 25 Leistungsgarantie auf 84,8% der Nennleistung 1x Unterkonstruktion - Montagesystem von K2 Systems oder vergleichbar - Ausgelegt auf die Individuelle Dachkostruktion - Zertifiziert für 50 Jahre Nutzungsdauer 1x DC-Montage - Montage der Module bis zum Speicher mit integrierten bzw. Externen Wechselrichter inkl. Verkabelung und Unterkonstruktion für alle Module - Vertragsbestandteil der DC Kabelführung ist der kürzeste Weg (PV-Module zu Wechselrichter) Änderungen sind aufpreispflichtig";"335";"";"25.07.24";"435.5"
"1278";"PV - Speicher";"";"- Growatt ARK XH Batteriesystem 7.6 kWh oder vergleichbar - 10 Jahre Garantie über 6000 Lebenszyklen - frei von Kobalt";"0";"";"25.07.24";"0"
"1011";"Growatt Batteriemodul ARK-2.5H-A1";"";"Growatt ARK-2.5H-A1 Erweiterung eines Speicher Moduls (2,56 kWh). Inkl. Installation";"787.84";"";"25.07.24";"1024.19"
"1033";"RCT Power Storage DC 10.0 mit Battery 9.6";"";"3-phasiger Netzanschluss 10,0 kVA AC Leistung 380 - 800 V MPP-Spannungsbereich trafoloses Konzept 2 MPP-Tracker Schnittstellen: WIFI, LAN, RS485, Multifunktionales Relais Maß: 570 x 585 x 200 mm (HxBxT) Gewicht: 26,0 kg IP 42 10 Jahre Produktgarantie";"8078";"";"25.07.24";"10501.4"
"1050";"Montage Wärmepumpe";"";"- Preis wird nach Montage in extra Rechnung aufgeschlüsselt - Kosten ca zwischen 1500- 2000 € - Rechnung des Heizungsbauers wird 1:1 an Sie weitergegeben";"0";"";"25.07.24";"0"
"1074";"Wechselrichter GoodWe 60kW";"";"- Integrierter Kuppelschalter für zentralen NA-Schutz bereits vorhanden - Breiter MPPT-Spannungsbereich von 200 - 950 V - AC- und DC-Überspannungsschutz Typ 2 integriert - Wandhalterung und WiFi Modul beigelegt - Einbindung in das SEMS-Portal - Netzanschluss: 3-Phasig - AC Leistung: 60 kVA - MPP-Tracker: 6 mit je 2 Stringanschlüssen - Max. Kurzschlussstrom pro MPPT: 37,5 A -Kommunikation: RS485, WiFi - Inbetriebnahme über SolarGo App - Ventilatorkühlung - Maß: 660 x 520 x 220 mm (HxBxT) - Schutzgrad: IP 65 - Gewicht 55,0 kg - Garantie: 5 Jahre";"3080";"";"25.07.24";"4004"
"1098";"Wechselrichter Upgrade";"";"Upgrade von Growatt MOD 10 KTL3- XH(AFCI) auf Growatt SPH10000 TL3 BH-UP";"0";"";"25.07.24";"0"
"1134";"Wechselrichter Growatt 3,3 kW (AFCI)";"";"Growatt MOD 3000TL3-XH (AFCI) oder vergleichbar - Zukunftssicher - Zwei MPP-Tracker - Typ II SPD auf DC- und AC-Seite - AFCI-Funktion optional - 24h Eigenverbrauchsüberwachung";"791.28";"";"25.07.24";"1028.66"
"1154";"Hybrid - Wechselrichter Goodwe 5 kW";"";"- Hoher Wirkungsgrad von bis zu 98,2 % - AC Überspannungsschutz - Netzanschluss: 3 Phasig - AC Leistung: 5,0 kVA - 5,0 kW Notstrom Leistung über separaten Ausgang - MPP Tracker: 2 - Stringanschlüsse je MPPT: 1 -3-phasiger Smart Meter inklusive - Abmessungen: 516 x 415 x 180 mm (HxBxT) - Schutzklasse: IP66 - Gewicht: 24,0 kg";"1402";"";"25.07.24";"1822.6"
"1168";"Wechselrichter Growatt 35 kW";"";"- Growatt MID 36KTL3-X oder vergleichbar - The maximum efficiency is up to 98.8% - 40% compact and lighter - AFCI function optional - Self-consumption monitoring - Touch key and OLED display - Type II SPD on DC and AC side - 5 Jahre Herstellergarantie";"1852.63";"";"25.07.24";"2408.42"
"1190";"nicht verwenden";"";"- Preisgekrönte Effizienz dank echter Serienschaltung - Das patentierte modulare Steckdesign erfordert keine interne Verkabelung und ermöglicht maximale Flexibilität und Benutzerfreundlichkeit - Kobaltfreie Lithium-Eisen-Phosphat-Batterie (LFP): Maximale Sicherheit, Lebensdauer und Leistung - Kompatibel mit führenden 1- und 3-Phasen-Wechselrichtern - Leistungsstarke Not-/Ersatzstrom- und Off-Grid-Funktionalität Wechselrichter Kompatibilität wie bei BYD HVM - Batteriekapazität: 7,83 kWh - Nennspannung: 153,6 V - Gewicht: 120 kg - Schutzklasse: IP 55 - Abmessungen: 821 x 585 x 298 mm (H/W/T) - 10 Jahre Herstellergarantie";"4209";"";"25.07.24";"5471.7"
"1220";"PV - Speicher Growatt 25,6 kWh";"";"- Growatt ARK XH Batteriesystem 25,6 kWh oder vergleichbar - Growatt ARK XH Batteriesystem 10,2 kWh oder vergleichbar - über 6000 Lebenszyklen - frei von Kobalt - Extrem sicher durch Lithium-Eisen-Phosphat-Batterien im Vergleich zu Blei-Säure- und anderen Batterien - frei von Kobalt - Extrem sicher durch Lithium-Eisen-Phosphat-Batterien im Vergleich zu Blei-Säure- und anderen Batterien - 10 Jahre Herstellergarantie";"9700";"";"25.07.24";"12610"
"1248";"SolarEdge Home Hub-Wechselrichter SE10K";"";"-SolarEdge Home Hub-Wechselrichter SE10K-RWB48 oder RWS falls RWB nicht lieferbar -Hybrid Wechselrichter für SolarEdge -Optimierer und SolarEdge Niedervolt Batterie -DC-Nennspannung 750 Vdc -Europäischer Wirkungsgrad: 97,6 % -Schnelle Installationszeit durch integrierte StorEdge Schnittstelle -Günstigere Gesamtkosten durch 48 V Batterietechnik -Ersatzstromfähig in Kombination mit dem SolarEdge Home Backup-Interface BI-EU3P";"2290";"";"25.07.24";"2977"
